ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,time_subset
24,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
25,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
26,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
27,battery,1,195.42855591647438,0.0,195.42855591647438,0.20882912058437364,465.20257993558175,0.10228509661672673,8_weeks
28,naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
29,naturalgas_ccccsavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
30,naturalgas_ccavgcf,2,22372.03731,0.0,22372.03731,23.906091181090584,155389.18416721243,34.16575574008761,8_weeks
31,naturalgas_ctavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
32,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
33,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
34,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
35,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
36,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
37,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
38,utilitypv_losangeles,2,40905.60260132263,0.0,40905.60260132263,43.71050575566356,106238.84217921336,23.358963826586614,8_weeks
39,utilitypv_losangeles,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
40,battery,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
41,naturalgas_ccs100,2,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
42,naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
43,naturalgas_ccavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
44,naturalgas_ctavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
45,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
46,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
47,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
48,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
50,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
51,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
52,utilitypv_losangeles,3,2839.648862464083,0.0,2839.648862464083,3.0343640003676766,7470.529194431724,1.6425613988132601,8_weeks
53,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
54,battery,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
55,naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0,8_weeks
1,onshore_wind_turbine,1,8495.9,8495.9,0.0,9.078465105841872,25008.08604305546,5.498580146967443,16_weeks
4,conventional_steam_coal,2,0.0,13567.68,-13567.68,0.0,0.0,0.0,16_weeks
5,natural_gas_fired_combined_cycle,2,32803.896024458794,36734.21,-3930.313975541205,35.053263973647766,48043.118453444025,10.563340867897809,16_weeks
6,natural_gas_fired_combustion_turbine,2,4704.48,4704.48,0.0,5.027066881805456,124.8137482294642,0.027443059692834993,16_weeks
7,natural_gas_steam_turbine,2,0.0,1118.5,-1118.5,0.0,0.0,0.0,16_weeks
8,nuclear,2,5020.0,5020.0,0.0,5.36422213436201,41237.436077637074,9.066961259568286,16_weeks
9,onshore_wind_turbine,2,6979.000000000001,6979.0,9.094947017729282e-13,7.457551050938741,14947.990258921198,3.286645860593201,16_weeks
11,solar_photovoltaic,2,454.5,454.5,0.0,0.48566513148755647,769.3783227342498,0.1691648198750671,16_weeks
12,conventional_steam_coal,3,0.0,650.0,-650.0,0.0,0.0,0.0,16_weeks
13,natural_gas_fired_combined_cycle,3,3427.34,3427.34,0.0,3.662353205176154,15576.844589608696,3.4249133766317974,16_weeks
14,natural_gas_fired_combustion_turbine,3,1207.96,1207.96,0.0,1.29078999390915,12.806575981654452,0.0028158086277422167,16_weeks
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.098522167487685,25419.216934265347,5.588976355310603,16_weeks
16,solar_photovoltaic,3,137.5,137.5,0.0,0.1469283951144973,264.5918407881853,0.05817636104988908,16_weeks
17,naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
18,naturalgas_ccavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
19,naturalgas_ctavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
20,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
21,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
22,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
23,utilitypv_losangeles,1,1473.1740823575876,0.0,1473.1740823575876,1.574189844691437,3559.3050440815473,0.7825918392432362,16_weeks
24,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
25,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
26,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
27,battery,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
28,naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
29,naturalgas_ccccsavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
30,naturalgas_ccavgcf,2,22888.776935541213,0.0,22888.776935541213,24.458263718347578,160707.69159713696,35.33513604198312,16_weeks
31,naturalgas_ctavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
